exercise_name,gymvisual_name
Bench Press,Barbell Bench Press
Bench Pin Press,Barbell Pin Chest Press
Bench Pin Press Hold,Barbell Pin Bench Press Conventional grip (male)
Wide-Grip Bench Press,Barbell Wide Bench Press
Close-Grip Bench Press,Barbell Close Grip Bench Press
Close-Grip Incline Bench Press,Barbell Incline Close Grip Bench Press
Decline Bench Press,Barbell Decline Bench Press
Decline Dumbbell Bench Press,Dumbbell Decline Bench Press
Dumbbell Bench Press,Dumbbell Bench Press
Dumbbell Squeeze Press,Dumbbell Squeeze Bench Press
Incline Bench Press,Barbell Incline Bench Press
Incline Dumbbell Bench Press,Dumbbell Incline Bench Press
JM Press,Barbell JM Bench Press
Reverse-Grip Bench Press,Barbell Reverse Grip Bench Press
Reverse-Grip Dumbbell Bench Press,Dumbbell Reverse Bench Press
Single-Arm Dumbbell Bench Press,Dumbbell Alternate Bench Press (high start)
Smith Machine Bench Press,Smith Bench Press
Smith Machine Incline Bench Press,Smith Incline Bench Press
Smith Machine Decline Bench Press,Smith Decline Bench Press
Guillotine Press,Barbell Guillotine Bench Press
Machine Incline Chest Press,Lever Incline Hammer Chest Press
Machine Chest Press,Lever Chest Press
Plate-Loaded Chest Press,Lever Chest Press (plate loaded)
Plate-Loaded Decline Chest Press,Lever Decline Chest Press
Plate-Loaded Incline Chest Press,Leverage Incline Chest Press
Standing Cable Chest Press,Cable Standing Chest Press
Dumbbell Floor Press,Dumbbell Lying on Floor Chest Press
Floor Press,Barbell Floor Chest Press
Clean,Barbell Full Clean
Clean and Jerk,Barbell Clean and Jerk
Clean and Press,Barbell Clean and Press
Clean High Pull,Barbell Clean High Pull
Clean Pull,Barbell Clean Pull
Dumbbell Clean and Press,Dumbbell Clean and Press
Dumbbell Hang Clean,Dumbbell Hang Clean
Dumbbell High Pull,Dumbbell High Pull
Hang Clean,Barbell Hang Clean
Hang Power Clean,Barbell Hang Power Clean
High Pull,Barbell High Pull (male)
Power Clean,Power Clean
Dumbbell Snatch,Dumbbell One Arm Snatch
Hang Power Snatch,Barbell Power Snatch
Hang Snatch,Barbell Hang Snatch
Muscle Snatch,Barbell Muscle Snatch
Power Snatch,Barbell Power Snatch
Snatch,Barbell Snatch
Snatch Pull,Snatch Pull
Power Jerk,Barbell Power Jerk
Split Jerk,Barbell Split Jerk
Squat Jerk,Squat Jerk
Band Pull-Apart,Resistance Band Pull Apart
Cable Chest Fly,Cable Middle Fly
High to Low Cable Chest Fly,Cable Standing Fly
Low to High Cable Chest Fly,Cable Low Fly
Cable Reverse Fly,Cable 45 degrees Reverse Fly (male)
Dumbbell Chest Fly,Dumbbell Fly
Incline Dumbbell Chest Fly,Dumbbell Incline Fly
Decline Dumbbell Chest Fly,Dumbbell Decline Fly
Reverse Dumbbell Fly,Dumbbell Reverse Fly
Machine Chest Fly,Lever Seated Fly
Machine Reverse Fly,Lever Seated Reverse Fly
Pec Deck Fly,Lever Pec Deck Fly
Banded Chest Fly,Band Chest Fly (male)
Hip Thrust,Hip Thrusts
Single-Leg Hip Thrust,Single Leg Hip Thrusts
Barbell Hip Thrust,Barbell Hip Thrust
Banded Hip Thrust,Resistance Band Hip Thrusts
Glute Bridge,Glute Bridge Two Legs on Floor
Single-Leg Glute Bridge,Single Straight Leg Glute Bridge Hold (left) (female)
Barbell Glute Bridge,Barbell Glute Bridge (hands on bar)
Glute-Ham Raise,Glute Ham Raise (VERSION 2)
Pull-Up,Pull up
Weighted Pull-Up,Weighted Pull Up
Neutral-Grip Pull-Up,Shoulder Width Neutral Grip Pull-up
Weighted Neutral-Grip Pull-Up,Weighted Hammer Grip Pull up on Dip Cage
Chin-Up,Chin Up
Weighted Chin-Up,Weighted Chin-Up (male)
Muscle-Up,Muscle up (on vertical bar)
Weighted Muscle-Up,Weighted Muscle-up (on bar)
Bench Dips,Bench Dip on floor (VERSION 2)
Bench Dips (Feet Elevated),Triceps Dip (bench leg)
Chest Dip,Chest Dip
Dips,Triceps Dip
Weighted Dip,Weighted Tricep Dips
Machine Seated Dip,Lever Seated Dip
Sit-Up,Sit Up (VERSION 2)
Decline Sit-Up,Decline Sit up
Jackknife Sit-Up,Jackknife Sit Up
Bicycle Crunch,Bicycle Crunch (male)
Kneeling Cable Crunch,Cable Kneeling Crunch (VERSION 2)
Standing Cable Crunch,Cable Standing Crunch (with rope attachment)
Seated Cable Crunch,Cable Seated Crunch
Crunch,Crunch Floor m
Decline Crunch,Decline Crunch
Machine Seated Crunch,Lever Seated Crunch
Reverse Crunch,Reverse Crunch (VERSION 3)
Side Crunch,Side Crunch
Handstand Hold,Handstand Hold on Wall (male)
Hollow Body Hold,Hollow Hold
Kneeling Plank,Kneeling plank (male)
Plank,Front Plank
Reverse Plank Hold,Reverse plank
Side Plank,Side Plank Rotation
Arnold Press,Dumbbell Arnold Press
Behind the Neck Press,Standing Behind Neck Press
Bradford Press,Barbell Standing Bradford Press
Cuban Press,Dumbbell Cuban Press
Dumbbell Push Press,Dumbbell Push Press
Dumbbell Shoulder Press,Dumbbell Standing Overhead Press
Dumbbell Z Press,Dumbbell Z Press
Kettlebell Bottoms-Up Press,Kettlebell Standing Bottoms Up One Arm Shoulder Press
Landmine Press,Landmine Half Kneeling Shoulders Press
Machine Shoulder Press,Lever Seated Shoulder Press
Military Press,Barbell Standing Military Press (without rack)
Plate-Loaded Shoulder Press,Lever Shoulder Press (plate loaded) (VERSION 2)
Push Press,Push Press
Seated Dumbbell Shoulder Press,Dumbbell Seated Shoulder Press
Overhead Pin Press,Barbell Standing Shoulder Pin Press
Overhead Press,Barbell Standing Shoulders Press
Smith Machine Shoulder Press,Smith Seated Shoulder Press
Seated Overhead Press,Barbell Seated Overhead Press
Single-Arm Landmine Press,Landmine Kneeling One Arm Shoulder Press
Viking Press,StrongMan Viking Press
Z Press,Barbell Z Press
Cable External Rotation,Cable Standing Shoulder External Rotation
Band External Rotation,Band standing external shoulder rotation
Seated Dumbbell External Rotation,Dumbbell Seated External Shoulder Rotation
Cable Internal Rotation,Cable Shoulder Internal Rotation
Band Internal Rotation,Resistance Band Standing Shoulder Internal Rotation (male)
Banded Lateral Raise,Band front lateral raise
Cable Lateral Raise,Cable Lateral Raise
