Age,Beg.,Nov.,Int.,Adv.,Elite
15,5.44,9.98,16.78,24.95,34.47
20,5.9,11.34,19.05,28.58,39.46
25,6.35,11.79,19.5,29.48,40.82
30,6.35,11.79,19.5,29.48,40.82
35,6.35,11.79,19.5,29.48,40.82
40,6.35,11.79,19.5,29.48,40.82
45,5.9,11.34,18.6,28.12,38.56
50,5.44,10.43,17.69,26.31,36.29
55,4.99,9.53,16.33,24.04,33.57
60,4.54,9.07,14.97,22.23,30.39
65,4.08,8.16,13.15,19.96,27.67
70,3.63,7.26,11.79,18.14,24.95
75,3.18,6.35,10.89,15.88,22.23
80,3.18,5.9,9.53,14.51,19.96
85,2.72,4.99,8.62,12.7,17.69
90,2.27,4.54,7.71,11.79,15.88
