Age,Beg.,Nov.,Int.,Adv.,Elite
15,13.61,31.3,57.15,90.72,130.18
20,15.42,35.83,65.32,103.87,149.23
25,15.88,36.74,67.13,106.59,152.86
30,15.88,36.74,67.13,106.59,152.86
35,15.88,36.74,67.13,106.59,152.86
40,15.88,36.74,67.13,106.59,152.86
45,14.97,34.47,63.5,101.15,145.15
50,14.06,32.66,59.87,94.8,136.08
55,13.15,29.94,55.34,88,126.1
60,12.25,27.67,50.35,80.29,115.21
65,10.89,24.95,45.36,72.57,103.87
70,9.98,22.23,40.82,64.86,93.44
75,8.62,19.96,36.74,58.06,83.46
80,7.71,17.69,32.66,52.16,74.39
85,6.8,15.88,29.48,46.72,66.68
90,6.35,14.51,26.31,42.18,60.33
