Age,Beg.,Nov.,Int.,Adv.,Elite
15,13.15,30.39,56.25,89.81,129.27
20,14.97,34.93,64.41,102.97,147.87
25,15.42,35.83,66.22,105.69,151.95
30,15.42,35.83,66.22,105.69,151.95
35,15.42,35.83,66.22,105.69,151.95
40,15.42,35.83,66.22,105.69,151.95
45,14.51,34.02,62.6,100.24,144.24
50,13.61,31.75,58.97,93.89,135.17
55,12.7,29.48,54.43,87.09,125.19
60,11.79,26.76,49.9,79.38,114.31
65,10.43,24.49,44.91,71.67,103.42
70,9.53,21.77,40.37,64.41,92.53
75,8.62,19.5,35.83,57.61,83.01
80,7.71,17.69,32.21,51.71,73.94
85,6.8,15.88,29.03,46.27,66.22
90,5.9,14.06,25.85,41.73,59.87
