Age,Beg.,Nov.,Int.,Adv.,Elite
15,23.59,37.65,56.25,78.47,102.97
20,27.22,43.54,64.41,89.81,117.93
25,27.67,44.45,66.22,92.08,120.66
30,27.67,44.45,66.22,92.08,120.66
35,27.67,44.45,66.22,92.08,120.66
40,27.67,44.45,66.22,92.08,120.66
45,26.31,42.18,62.6,87.54,114.76
50,24.95,39.46,58.97,82.1,107.5
55,22.68,36.74,54.43,75.75,99.34
60,20.87,33.57,49.9,69.4,90.72
65,19.05,30.39,44.91,62.6,82.1
70,16.78,27.22,40.37,56.25,73.48
75,14.97,24.04,35.83,50.35,65.77
80,13.61,21.77,32.21,44.91,58.97
85,12.25,19.5,29.03,40.37,52.62
90,10.89,17.69,25.85,36.29,47.63
