Age,Beg.,Nov.,Int.,Adv.,Elite
15,10.43,20.41,34.02,51.26,70.76
20,12.25,23.13,39.01,58.51,80.74
25,12.25,24.04,39.92,59.87,83.01
30,12.25,24.04,39.92,59.87,83.01
35,12.25,24.04,39.92,59.87,83.01
40,12.25,24.04,39.92,59.87,83.01
45,11.79,22.68,37.65,56.7,78.93
50,10.89,21.32,35.38,53.52,73.94
55,9.98,19.5,32.66,49.44,68.49
60,9.07,18.14,29.94,44.91,62.6
65,8.62,16.33,27.22,40.82,56.25
70,7.71,14.51,24.49,36.74,50.8
75,6.8,13.15,21.77,32.66,45.36
80,5.9,11.79,19.5,29.03,40.37
85,5.44,10.43,17.24,26.31,36.29
90,4.99,9.53,15.88,23.59,32.66
