Age,Beg.,Nov.,Int.,Adv.,Elite
15,14.97,26.76,43.09,63.05,86.18
20,16.78,30.39,49.44,72.12,98.43
25,17.24,31.3,50.35,74.39,101.15
30,17.24,31.3,50.35,74.39,101.15
35,17.24,31.3,50.35,74.39,101.15
40,17.24,31.3,50.35,74.39,101.15
45,16.33,29.94,48.08,70.31,95.71
50,15.42,28.12,44.91,66.22,89.81
55,14.51,25.85,41.73,61.23,83.01
60,13.15,23.59,38.1,55.79,75.75
65,11.79,21.32,34.47,50.35,68.49
70,10.43,19.05,30.84,45.36,61.69
75,9.53,17.24,27.67,40.37,54.88
80,8.62,15.42,24.49,36.29,49.44
85,7.71,13.61,22.23,32.21,44
90,6.8,12.25,19.96,29.03,39.92
