Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.54,9.53,17.24,26.31,37.19
20,5.44,11.34,19.5,30.39,42.64
25,5.44,11.34,19.96,30.84,43.54
30,5.44,11.34,19.96,30.84,43.54
35,5.44,11.34,19.96,30.84,43.54
40,5.44,11.34,19.96,30.84,43.54
45,4.99,10.89,19.05,29.48,41.28
50,4.99,9.98,17.69,27.67,39.01
55,4.54,9.53,16.33,25.4,35.83
60,4.08,8.62,14.97,23.13,32.66
65,3.63,7.71,13.61,20.87,29.48
70,3.18,6.8,12.25,19.05,26.76
75,3.18,6.35,10.89,16.78,24.04
80,2.72,5.44,9.53,14.97,21.32
85,2.27,4.99,8.62,13.61,19.05
90,2.27,4.54,7.71,12.25,17.24
