Age,Beg.,Nov.,Int.,Adv.,Elite
15,32.21,50.35,73.94,102.06,132.9
20,36.74,57.61,84.37,116.57,151.95
25,37.65,58.97,86.64,119.75,156.04
30,37.65,58.97,86.64,119.75,156.04
35,37.65,58.97,86.64,119.75,156.04
40,37.65,58.97,86.64,119.75,156.04
45,35.83,56.25,82.1,113.4,147.87
50,33.57,52.62,77.11,106.59,138.8
55,30.84,48.53,71.21,98.43,128.37
60,28.12,44.45,65.32,89.81,117.03
65,25.4,39.92,58.97,81.19,105.69
70,23.13,35.83,52.62,73.03,95.25
75,20.41,32.21,47.17,65.32,84.82
80,18.14,28.58,42.18,58.06,76.2
85,16.33,25.85,37.65,52.16,68.04
90,14.97,23.13,34.02,47.17,61.23
