Age,Beg.,Nov.,Int.,Adv.,Elite
15,9.98,25.4,48.99,80.29,117.48
20,11.34,29.03,55.79,91.63,134.26
25,11.79,29.48,57.15,94.35,137.89
30,11.79,29.48,57.15,94.35,137.89
35,11.79,29.48,57.15,94.35,137.89
40,11.79,29.48,57.15,94.35,137.89
45,10.89,28.12,54.43,89.36,130.63
50,10.43,26.31,51.26,83.91,122.47
55,9.53,24.49,47.17,77.56,113.4
60,8.62,22.23,43.09,70.76,103.42
65,7.71,19.96,39.01,63.96,93.44
70,7.26,18.14,34.93,57.61,83.91
75,6.35,16.33,31.3,51.26,75.3
80,5.44,14.51,28.12,45.81,67.13
85,4.99,13.15,24.95,41.28,60.33
90,4.54,11.79,22.68,37.19,54.43
