Age,Beg.,Nov.,Int.,Adv.,Elite
15,2.72,8.16,17.24,29.94,45.36
20,2.72,9.07,19.96,34.47,52.16
25,3.18,9.53,20.41,35.38,53.52
30,3.18,9.53,20.41,35.38,53.52
35,3.18,9.53,20.41,35.38,53.52
40,3.18,9.53,20.41,35.38,53.52
45,2.72,9.07,19.5,33.57,50.8
50,2.72,8.62,18.14,31.3,47.63
55,2.27,7.71,16.78,29.03,44
60,2.27,7.26,15.42,26.76,39.92
65,1.81,6.35,14.06,24.04,36.29
70,1.81,5.9,12.25,21.32,32.66
75,1.81,4.99,10.89,19.05,29.03
80,1.36,4.54,9.98,17.24,25.85
85,1.36,4.08,9.07,15.42,23.13
90,1.36,3.63,8.16,14.06,20.87
