Age,Beg.,Nov.,Int.,Adv.,Elite
15,2.72,10.43,23.13,40.82,63.05
20,3.18,11.79,26.31,47.17,72.12
25,3.18,12.25,27.22,48.08,73.94
30,3.18,12.25,27.22,48.08,73.94
35,3.18,12.25,27.22,48.08,73.94
40,3.18,12.25,27.22,48.08,73.94
45,3.18,11.34,25.85,45.81,69.85
50,3.18,10.89,24.04,43.09,65.77
55,2.72,9.98,22.23,39.46,60.78
60,2.72,9.07,20.41,36.29,55.34
65,2.27,8.16,18.6,32.66,50.35
70,2.27,7.26,16.78,29.48,44.91
75,1.81,6.8,14.97,26.31,40.37
80,1.81,5.9,13.15,23.59,35.83
85,1.36,5.44,11.79,20.87,32.21
90,1.36,4.99,10.89,19.05,29.03
