Age,Beg.,Nov.,Int.,Adv.,Elite
15,8.62,19.5,35.83,56.7,81.65
20,9.98,22.23,40.82,64.86,93.44
25,9.98,22.68,41.73,66.68,95.71
30,9.98,22.68,41.73,66.68,95.71
35,9.98,22.68,41.73,66.68,95.71
40,9.98,22.68,41.73,66.68,95.71
45,9.53,21.77,39.92,63.05,90.72
50,9.07,20.41,37.19,59.42,85.28
55,8.16,19.05,34.47,54.88,78.93
60,7.71,17.24,31.3,50.35,72.12
65,6.8,15.42,28.58,45.36,64.86
70,6.35,14.06,25.4,40.82,58.51
75,5.44,12.7,22.68,36.29,52.16
80,4.99,11.34,20.41,32.66,46.72
85,4.54,9.98,18.14,29.03,41.73
90,4.08,9.07,16.33,26.31,37.65
