Age,Beg.,Nov.,Int.,Adv.,Elite
15,2.72,6.35,12.25,19.96,29.03
20,2.72,7.26,14.06,22.68,33.57
25,3.18,7.71,14.51,23.59,34.47
30,3.18,7.71,14.51,23.59,34.47
35,3.18,7.71,14.51,23.59,34.47
40,3.18,7.71,14.51,23.59,34.47
45,2.72,7.26,13.61,22.23,32.66
50,2.72,6.8,12.7,20.87,30.39
55,2.27,6.35,11.79,19.5,28.12
60,2.27,5.44,10.89,17.69,25.85
65,1.81,4.99,9.98,15.88,23.13
70,1.81,4.54,8.62,14.51,20.87
75,1.81,4.08,7.71,12.7,18.6
80,1.36,3.63,6.8,11.34,16.78
85,1.36,3.18,6.35,10.43,14.97
90,1.36,3.18,5.44,9.07,13.61
