Age,Beg.,Nov.,Int.,Adv.,Elite
15,8.16,17.69,32.21,50.35,71.67
20,9.53,20.41,36.74,57.61,82.1
25,9.53,20.87,37.65,59.42,84.37
30,9.53,20.87,37.65,59.42,84.37
35,9.53,20.87,37.65,59.42,84.37
40,9.53,20.87,37.65,59.42,84.37
45,9.07,19.96,35.83,56.25,80.29
50,8.62,18.6,33.57,52.62,75.3
55,7.71,17.24,31.3,48.99,69.4
60,7.26,15.88,28.58,44.45,63.5
65,6.35,14.06,25.85,40.37,57.15
70,5.9,12.7,23.13,36.29,51.26
75,5.44,11.34,20.41,32.21,45.81
80,4.54,10.43,18.6,29.03,41.28
85,4.08,9.07,16.33,25.85,36.74
90,3.63,8.16,14.97,23.13,33.11
