Age,Beg.,Nov.,Int.,Adv.,Elite
15,13.61,23.13,35.83,51.26,68.49
20,15.42,26.31,40.82,58.51,78.47
25,15.88,27.22,41.73,59.87,80.29
30,15.88,27.22,41.73,59.87,80.29
35,15.88,27.22,41.73,59.87,80.29
40,15.88,27.22,41.73,59.87,80.29
45,14.97,25.85,39.92,57.15,76.2
50,14.06,24.04,37.19,53.52,71.67
55,13.15,22.23,34.47,49.44,66.22
60,11.79,20.41,31.75,45.36,60.33
65,10.89,18.6,28.58,40.82,54.43
70,9.53,16.33,25.4,36.74,48.99
75,8.62,14.97,22.68,32.66,44
80,7.71,13.15,20.41,29.48,39.01
85,6.8,11.79,18.14,26.31,34.93
90,6.35,10.89,16.33,23.59,31.75
