Age,Beg.,Nov.,Int.,Adv.,Elite
15,25.4,34.93,46.27,58.97,72.57
20,29.03,39.92,52.62,67.59,83.01
25,29.94,40.82,53.98,69.4,85.28
30,29.94,40.82,53.98,69.4,85.28
35,29.94,40.82,53.98,69.4,85.28
40,29.94,40.82,53.98,69.4,85.28
45,28.58,39.01,51.26,65.77,80.74
50,26.76,36.29,48.08,61.69,75.75
55,24.49,33.57,44.45,57.15,70.31
60,22.68,30.84,40.82,52.16,63.96
65,20.41,27.67,36.74,47.17,58.06
70,18.14,24.95,33.11,42.18,52.16
75,16.33,22.23,29.48,37.65,46.27
80,14.51,19.96,26.31,33.57,41.73
85,13.15,17.69,23.59,30.39,37.19
90,11.79,15.88,21.32,27.22,33.57
