Age,Beg.,Nov.,Int.,Adv.,Elite
15,26.31,36.29,48.08,61.23,75.75
20,30.39,41.28,54.88,70.31,86.64
25,30.84,42.64,56.25,72.12,88.9
30,30.84,42.64,56.25,72.12,88.9
35,30.84,42.64,56.25,72.12,88.9
40,30.84,42.64,56.25,72.12,88.9
45,29.48,40.37,53.52,68.49,84.37
50,27.67,37.65,49.9,63.96,78.93
55,25.4,34.93,46.27,59.42,73.03
60,23.13,31.75,42.18,53.98,66.68
65,21.32,29.03,38.1,48.99,60.33
70,19.05,25.85,34.47,44,53.98
75,16.78,23.13,30.84,39.46,48.53
80,14.97,20.87,27.22,34.93,43.09
85,13.61,18.6,24.49,31.3,39.01
90,12.25,16.78,22.23,28.58,34.93
