Age,Beg.,Nov.,Int.,Adv.,Elite
15,14.06,22.68,34.47,48.53,63.96
20,15.88,26.31,39.46,55.34,73.03
25,16.33,26.76,40.37,56.7,75.3
30,16.33,26.76,40.37,56.7,75.3
35,16.33,26.76,40.37,56.7,75.3
40,16.33,26.76,40.37,56.7,75.3
45,15.42,25.4,38.56,53.98,71.21
50,14.51,24.04,35.83,50.8,67.13
55,13.61,22.23,33.11,46.72,61.69
60,12.25,19.96,30.39,42.64,56.7
65,11.34,18.14,27.67,38.56,51.26
70,9.98,16.33,24.49,34.47,45.81
75,9.07,14.51,22.23,30.84,40.82
80,8.16,13.15,19.5,27.67,36.74
85,7.26,11.79,17.69,24.95,32.66
90,6.35,10.43,15.88,22.23,29.48
