Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.08,9.53,18.14,29.03,41.73
20,4.54,11.34,20.87,33.11,48.08
25,4.99,11.34,21.32,34.02,49.44
30,4.99,11.34,21.32,34.02,49.44
35,4.99,11.34,21.32,34.02,49.44
40,4.99,11.34,21.32,34.02,49.44
45,4.54,10.89,19.96,32.21,46.72
50,4.54,9.98,19.05,30.39,44
55,4.08,9.53,17.69,28.12,40.37
60,3.63,8.62,15.88,25.85,37.19
65,3.18,7.71,14.51,23.13,33.57
70,3.18,6.8,13.15,20.87,29.94
75,2.72,6.35,11.79,18.6,26.76
80,2.27,5.44,10.43,16.78,24.04
85,2.27,4.99,9.07,14.97,21.32
90,1.81,4.54,8.16,13.61,19.5
