Age,Beg.,Nov.,Int.,Adv.,Elite
15,2.72,5.9,10.89,17.69,24.95
20,3.18,6.8,12.7,19.96,28.58
25,3.18,7.26,13.15,20.41,29.48
30,3.18,7.26,13.15,20.41,29.48
35,3.18,7.26,13.15,20.41,29.48
40,3.18,7.26,13.15,20.41,29.48
45,3.18,6.8,12.25,19.5,28.12
50,2.72,6.35,11.34,18.14,26.31
55,2.72,5.9,10.89,16.78,24.04
60,2.27,5.44,9.53,15.42,22.23
65,2.27,4.99,8.62,14.06,19.96
70,1.81,4.54,7.71,12.7,18.14
75,1.81,4.08,7.26,11.34,15.88
80,1.36,3.63,6.35,9.98,14.51
85,1.36,3.18,5.44,9.07,12.7
90,1.36,2.72,4.99,8.16,11.79
