Age,Beg.,Nov.,Int.,Adv.,Elite
15,28.58,44.45,65.32,89.81,117.03
20,32.66,51.26,74.84,102.97,133.81
25,33.57,52.62,76.66,105.69,137.44
30,33.57,52.62,76.66,105.69,137.44
35,33.57,52.62,76.66,105.69,137.44
40,33.57,52.62,76.66,105.69,137.44
45,31.75,49.9,72.57,100.24,130.18
50,29.94,46.72,68.04,93.89,122.47
55,27.67,43.09,63.05,87.09,112.94
60,25.4,39.46,57.61,79.38,103.42
65,22.68,35.38,52.16,71.67,93.44
70,20.41,31.75,46.72,64.41,83.46
75,18.14,28.58,41.73,57.61,74.84
80,16.33,25.4,37.19,51.26,66.68
85,14.51,22.68,33.57,46.27,59.87
90,13.15,20.41,30.39,41.73,53.98
