Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.99,9.07,14.97,22.23,30.84
20,5.44,10.43,17.24,25.85,35.38
25,5.9,10.89,17.69,26.31,36.29
30,5.9,10.89,17.69,26.31,36.29
35,5.9,10.89,17.69,26.31,36.29
40,5.9,10.89,17.69,26.31,36.29
45,5.44,10.43,16.78,24.95,34.47
50,4.99,9.53,15.88,23.59,32.21
55,4.54,9.07,14.51,21.77,29.94
60,4.54,8.16,13.15,19.96,27.22
65,4.08,7.26,12.25,17.69,24.49
70,3.63,6.35,10.89,15.88,22.23
75,3.18,5.9,9.53,14.51,19.5
80,2.72,5.44,8.62,12.7,17.69
85,2.72,4.54,7.71,11.34,15.88
90,2.27,4.08,6.8,10.43,14.06
