Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.99,9.07,14.51,21.32,29.03
20,5.9,10.43,16.78,24.49,33.11
25,5.9,10.89,17.24,24.95,34.02
30,5.9,10.89,17.24,24.95,34.02
35,5.9,10.89,17.24,24.95,34.02
40,5.9,10.89,17.24,24.95,34.02
45,5.44,9.98,16.33,23.59,32.21
50,5.44,9.53,15.42,22.23,30.39
55,4.99,8.62,14.06,20.41,28.12
60,4.54,8.16,12.7,18.6,25.4
65,4.08,7.26,11.79,16.78,23.13
70,3.63,6.35,10.43,15.42,20.87
75,3.18,5.9,9.53,13.61,18.6
80,2.72,4.99,8.16,12.25,16.33
85,2.72,4.54,7.26,10.89,14.97
90,2.27,4.08,6.8,9.98,13.15
