Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.08,7.71,12.7,19.05,26.31
20,4.54,9.07,14.51,21.77,30.39
25,4.99,9.07,14.97,22.68,30.84
30,4.99,9.07,14.97,22.68,30.84
35,4.99,9.07,14.97,22.68,30.84
40,4.99,9.07,14.97,22.68,30.84
45,4.54,8.62,14.51,21.32,29.48
50,4.54,8.16,13.61,19.96,27.67
55,4.08,7.71,12.25,18.6,25.4
60,3.63,6.8,11.34,16.78,23.13
65,3.18,6.35,10.43,15.42,20.87
70,3.18,5.44,9.07,13.61,19.05
75,2.72,4.99,8.16,12.25,16.78
80,2.27,4.54,7.26,10.89,14.97
85,2.27,4.08,6.8,9.98,13.61
90,1.81,3.63,5.9,9.07,12.25
