Age,Beg.,Nov.,Int.,Adv.,Elite
15,1.36,4.54,8.62,14.51,21.32
20,1.81,4.99,9.98,16.33,24.04
25,1.81,4.99,9.98,16.78,24.95
30,1.81,4.99,9.98,16.78,24.95
35,1.81,4.99,9.98,16.78,24.95
40,1.81,4.99,9.98,16.78,24.95
45,1.81,4.99,9.53,15.88,23.59
50,1.81,4.54,9.07,14.97,22.23
55,1.36,4.08,8.16,14.06,20.41
60,1.36,3.63,7.71,12.7,18.6
65,1.36,3.63,6.8,11.34,16.78
70,1.36,3.18,6.35,10.43,14.97
75,0.91,2.72,5.44,9.07,13.61
80,0.91,2.27,4.99,8.16,12.25
85,0.91,2.27,4.54,7.26,10.89
90,0.91,1.81,4.08,6.8,9.98
