Age,Beg.,Nov.,Int.,Adv.,Elite
15,3.63,8.62,15.88,25.85,37.19
20,4.08,9.98,18.14,29.48,42.64
25,4.08,9.98,19.05,30.39,43.54
30,4.08,9.98,19.05,30.39,43.54
35,4.08,9.98,19.05,30.39,43.54
40,4.08,9.98,19.05,30.39,43.54
45,4.08,9.53,17.69,28.58,41.28
50,3.63,9.07,16.78,26.76,39.01
55,3.63,8.16,15.42,24.95,35.83
60,3.18,7.71,14.06,22.68,32.66
65,2.72,6.8,12.7,20.41,29.48
70,2.72,6.35,11.34,18.6,26.76
75,2.27,5.44,10.43,16.33,24.04
80,2.27,4.99,9.07,14.97,21.32
85,1.81,4.54,8.16,13.15,19.05
90,1.81,4.08,7.26,11.79,17.24
