Age,Beg.,Nov.,Int.,Adv.,Elite
15,2.72,5.9,10.89,17.24,24.49
20,3.18,6.8,12.25,19.5,27.67
25,3.18,7.26,12.7,19.96,28.58
30,3.18,7.26,12.7,19.96,28.58
35,3.18,7.26,12.7,19.96,28.58
40,3.18,7.26,12.7,19.96,28.58
45,3.18,6.8,12.25,19.05,27.22
50,2.72,6.35,11.34,17.69,25.4
55,2.72,5.9,10.43,16.33,23.59
60,2.27,5.44,9.53,14.97,21.32
65,2.27,4.99,8.62,13.61,19.5
70,1.81,4.54,7.71,12.25,17.24
75,1.81,4.08,6.8,10.89,15.42
80,1.36,3.63,6.35,9.98,14.06
85,1.36,3.18,5.44,8.62,12.7
90,1.36,2.72,4.99,7.71,11.34
