Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.54,8.62,13.61,20.41,28.12
20,5.44,9.53,15.88,23.59,32.21
25,5.44,9.98,16.33,24.04,33.11
30,5.44,9.98,16.33,24.04,33.11
35,5.44,9.98,16.33,24.04,33.11
40,5.44,9.98,16.33,24.04,33.11
45,4.99,9.53,15.42,22.68,31.3
50,4.99,9.07,14.51,21.32,29.48
55,4.54,8.16,13.15,19.96,27.22
60,4.08,7.26,12.25,18.14,24.95
65,3.63,6.8,10.89,16.33,22.23
70,3.18,5.9,9.98,14.51,19.96
75,2.72,5.44,8.62,13.15,18.14
80,2.72,4.99,7.71,11.79,15.88
85,2.27,4.54,7.26,10.43,14.51
90,2.27,4.08,6.35,9.53,13.15
