Age,Beg.,Nov.,Int.,Adv.,Elite
15,25.85,38.1,53.07,70.76,89.81
20,29.48,43.54,60.78,80.74,102.51
25,30.39,44.45,62.14,83.01,105.23
30,30.39,44.45,62.14,83.01,105.23
35,30.39,44.45,62.14,83.01,105.23
40,30.39,44.45,62.14,83.01,105.23
45,29.03,42.18,58.97,78.47,99.79
50,27.22,39.92,55.34,73.94,93.89
55,24.95,36.74,51.26,68.04,86.64
60,23.13,33.57,46.72,62.14,78.93
65,20.87,30.39,42.18,56.25,71.67
70,18.6,27.22,38.1,50.35,63.96
75,16.78,24.49,34.02,45.36,57.15
80,14.97,21.77,30.39,40.37,51.26
85,13.15,19.5,27.22,36.29,45.81
90,11.79,17.69,24.49,32.66,41.28
