Age,Beg.,Nov.,Int.,Adv.,Elite
15,19.05,43.54,79.83,127.01,182.34
20,21.77,49.9,91.17,145.6,208.65
25,22.23,50.8,93.89,149.23,214.55
30,22.23,50.8,93.89,149.23,214.55
35,22.23,50.8,93.89,149.23,214.55
40,22.23,50.8,93.89,149.23,214.55
45,21.32,48.53,88.9,141.52,203.21
50,19.96,45.36,83.46,132.9,190.96
55,18.14,42.18,77.11,122.92,176.45
60,16.78,38.1,70.31,112.04,161.03
65,14.97,34.47,63.5,101.15,145.6
70,13.61,31.3,57.15,91.17,130.63
75,12.25,27.67,51.26,81.19,116.57
80,10.89,24.95,45.81,72.57,104.33
85,9.53,22.23,40.82,65.32,93.44
90,8.62,19.96,36.74,58.97,84.37
