Age,Beg.,Nov.,Int.,Adv.,Elite
15,3.63,6.8,10.89,16.33,22.23
20,4.54,7.71,12.7,18.6,25.4
25,4.54,8.16,13.15,19.05,25.85
30,4.54,8.16,13.15,19.05,25.85
35,4.54,8.16,13.15,19.05,25.85
40,4.54,8.16,13.15,19.05,25.85
45,4.08,7.71,12.25,18.14,24.49
50,4.08,7.26,11.79,17.24,23.13
55,3.63,6.8,10.89,15.88,21.32
60,3.18,5.9,9.98,14.51,19.5
65,3.18,5.44,9.07,13.15,17.69
70,2.72,4.99,8.16,11.79,15.88
75,2.27,4.54,7.26,10.43,14.06
80,2.27,4.08,6.35,9.53,12.7
85,1.81,3.63,5.9,8.16,11.34
90,1.81,3.18,4.99,7.71,10.43
