Age,Beg.,Nov.,Int.,Adv.,Elite
15,9.98,17.69,28.12,41.28,55.79
20,11.34,20.41,32.21,47.17,63.96
25,11.79,20.87,33.11,48.53,65.77
30,11.79,20.87,33.11,48.53,65.77
35,11.79,20.87,33.11,48.53,65.77
40,11.79,20.87,33.11,48.53,65.77
45,11.34,19.96,31.75,45.81,62.14
50,10.43,18.6,29.48,43.09,58.51
55,9.53,17.24,27.22,39.92,53.98
60,9.07,15.88,24.95,36.29,49.44
65,8.16,14.06,22.68,33.11,44.45
70,7.26,12.7,20.41,29.48,39.92
75,6.35,11.34,18.14,26.31,35.83
80,5.9,9.98,16.33,23.59,31.75
85,4.99,9.07,14.51,21.32,28.58
90,4.54,8.16,13.15,19.05,25.85
