Age,Beg.,Nov.,Int.,Adv.,Elite
15,19.96,37.65,62.6,93.89,129.27
20,22.68,43.54,71.67,107.5,147.87
25,23.59,44.45,73.48,110.22,151.95
30,23.59,44.45,73.48,110.22,151.95
35,23.59,44.45,73.48,110.22,151.95
40,23.59,44.45,73.48,110.22,151.95
45,22.23,42.18,69.85,104.33,144.24
50,20.87,39.46,65.77,97.98,135.17
55,19.5,36.74,60.78,90.72,125.19
60,17.69,33.57,55.34,83.01,114.31
65,15.88,30.39,49.9,74.84,102.97
70,14.06,27.22,44.91,67.13,92.53
75,12.7,24.04,40.37,59.87,82.55
80,11.34,21.77,35.83,53.52,73.94
85,10.43,19.5,32.21,48.08,66.22
90,9.07,17.69,29.03,43.54,59.87
