Age,Beg.,Nov.,Int.,Adv.,Elite
15,19.05,36.29,60.33,90.72,125.65
20,21.77,41.28,69.4,103.87,143.79
25,22.23,42.64,71.21,106.59,147.42
30,22.23,42.64,71.21,106.59,147.42
35,22.23,42.64,71.21,106.59,147.42
40,22.23,42.64,71.21,106.59,147.42
45,20.87,40.37,67.13,101.15,139.71
50,19.96,38.1,63.05,94.8,131.09
55,18.14,34.93,58.51,88,121.56
60,16.78,32.21,53.52,80.29,110.68
65,14.97,29.03,48.08,72.57,100.24
70,13.61,25.85,43.09,64.86,89.81
75,12.25,23.13,38.56,58.06,80.29
80,10.89,20.87,34.47,52.16,71.67
85,9.53,18.6,30.84,46.72,64.41
90,8.62,16.78,28.12,42.18,58.06
