Age,Beg.,Nov.,Int.,Adv.,Elite
15,31.75,60.33,99.79,149.23,205.48
20,36.29,68.95,114.31,170.55,234.96
25,37.19,70.76,117.03,175.09,241.31
30,37.19,70.76,117.03,175.09,241.31
35,37.19,70.76,117.03,175.09,241.31
40,37.19,70.76,117.03,175.09,241.31
45,35.38,67.13,111.13,166.01,228.61
50,33.11,63.05,104.33,156.04,214.55
55,30.84,58.51,96.62,144.24,198.67
60,28.12,53.07,88,131.54,181.44
65,25.4,48.08,79.38,118.84,163.75
70,22.68,43.09,71.21,106.59,146.96
75,20.41,38.56,63.96,95.25,131.54
80,18.14,34.47,57.15,85.28,117.48
85,16.33,30.84,51.26,76.66,105.23
90,14.51,27.67,46.27,68.95,94.8
