Age,Beg.,Nov.,Int.,Adv.,Elite
15,2.72,6.35,11.79,18.6,26.76
20,3.18,7.26,13.61,21.32,30.39
25,3.18,7.71,13.61,21.77,31.3
30,3.18,7.71,13.61,21.77,31.3
35,3.18,7.71,13.61,21.77,31.3
40,3.18,7.71,13.61,21.77,31.3
45,3.18,7.26,13.15,20.87,29.48
50,3.18,6.8,12.25,19.5,27.67
55,2.72,6.35,11.34,18.14,25.85
60,2.72,5.44,10.43,16.33,23.59
65,2.27,4.99,9.53,14.97,21.32
70,1.81,4.54,8.16,13.15,19.05
75,1.81,4.08,7.71,11.79,17.24
80,1.81,3.63,6.8,10.43,15.42
85,1.36,3.18,5.9,9.53,13.61
90,1.36,3.18,5.44,8.62,12.25
