Age,Beg.,Nov.,Int.,Adv.,Elite
15,8.62,16.78,28.58,43.54,60.33
20,9.53,19.05,32.66,49.9,68.95
25,9.98,19.96,33.57,50.8,70.76
30,9.98,19.96,33.57,50.8,70.76
35,9.98,19.96,33.57,50.8,70.76
40,9.98,19.96,33.57,50.8,70.76
45,9.53,18.6,31.75,48.53,67.13
50,9.07,17.69,29.94,45.36,63.05
55,8.16,16.33,27.67,42.18,58.51
60,7.71,14.97,25.4,38.1,53.52
65,6.8,13.61,22.68,34.47,48.08
70,5.9,12.25,20.41,30.84,43.09
75,5.44,10.89,18.14,27.67,38.56
80,4.99,9.53,16.33,24.95,34.47
85,4.54,8.62,14.51,22.23,30.84
90,4.08,7.71,13.15,19.96,28.12
