Age,Beg.,Nov.,Int.,Adv.,Elite
15,11.79,20.41,32.21,46.72,63.05
20,13.15,23.13,36.74,53.52,72.57
25,13.61,24.04,37.65,54.88,74.39
30,13.61,24.04,37.65,54.88,74.39
35,13.61,24.04,37.65,54.88,74.39
40,13.61,24.04,37.65,54.88,74.39
45,12.7,22.68,35.83,52.16,70.31
50,12.25,21.32,33.57,48.99,66.22
55,11.34,19.5,31.3,45.36,61.23
60,10.43,18.14,28.58,41.28,55.79
65,9.07,16.33,25.85,37.19,50.35
70,8.16,14.51,23.13,33.57,45.36
75,7.26,13.15,20.41,29.94,40.37
80,6.8,11.79,18.6,26.76,36.29
85,5.9,10.43,16.33,24.04,32.66
90,5.44,9.53,14.97,21.77,29.03
