Age,Beg.,Nov.,Int.,Adv.,Elite
15,10.89,20.87,34.47,52.16,72.12
20,12.25,23.59,39.46,59.42,82.55
25,12.7,24.49,40.82,61.23,84.82
30,12.7,24.49,40.82,61.23,84.82
35,12.7,24.49,40.82,61.23,84.82
40,12.7,24.49,40.82,61.23,84.82
45,11.79,23.13,38.56,58.06,80.29
50,11.34,21.77,36.29,54.43,75.3
55,10.43,19.96,33.57,50.35,69.85
60,9.53,18.14,30.39,45.81,63.5
65,8.62,16.33,27.67,41.73,57.61
70,7.71,14.97,24.95,37.19,51.71
75,6.8,13.15,22.23,33.57,46.27
80,6.35,11.79,19.96,29.94,41.28
85,5.44,10.43,17.69,26.76,37.19
90,4.99,9.53,15.88,24.04,33.57
