Age,Beg.,Nov.,Int.,Adv.,Elite
15,12.7,34.93,70.31,118.39,175.09
20,14.51,39.92,80.74,135.17,200.49
25,14.97,40.82,82.55,138.8,205.93
30,14.97,40.82,82.55,138.8,205.93
35,14.97,40.82,82.55,138.8,205.93
40,14.97,40.82,82.55,138.8,205.93
45,14.06,39.01,78.47,131.54,195.04
50,13.15,36.74,73.48,123.38,183.25
55,12.25,34.02,68.04,114.31,169.64
60,10.89,30.84,62.14,104.33,154.67
65,9.98,27.67,56.25,94.35,139.71
70,9.07,24.95,50.35,84.37,125.19
75,8.16,22.23,44.91,75.75,112.04
80,7.26,19.96,40.37,67.59,100.24
85,6.35,18.14,36.29,60.78,89.81
90,5.9,16.33,32.66,54.43,81.19
