Age,Beg.,Nov.,Int.,Adv.,Elite
15,11.79,20.41,32.66,47.63,64.41
20,13.15,23.59,37.65,54.43,73.94
25,13.61,24.04,38.56,55.79,75.75
30,13.61,24.04,38.56,55.79,75.75
35,13.61,24.04,38.56,55.79,75.75
40,13.61,24.04,38.56,55.79,75.75
45,12.7,23.13,36.29,53.07,72.12
50,12.25,21.32,34.02,49.9,67.59
55,11.34,19.96,31.75,46.27,62.6
60,10.43,18.14,29.03,42.18,57.15
65,9.07,16.33,26.31,38.1,51.71
70,8.16,14.51,23.59,34.02,46.27
75,7.26,13.15,20.87,30.39,41.28
80,6.8,11.79,18.6,27.22,36.74
85,5.9,10.43,16.78,24.49,33.11
90,5.44,9.53,14.97,22.23,29.94
