Age,Beg.,Nov.,Int.,Adv.,Elite
15,6.35,15.42,29.48,47.17,68.49
20,7.26,17.69,33.57,53.98,78.47
25,7.71,18.14,34.47,55.34,80.29
30,7.71,18.14,34.47,55.34,80.29
35,7.71,18.14,34.47,55.34,80.29
40,7.71,18.14,34.47,55.34,80.29
45,7.26,17.24,32.66,52.62,76.2
50,6.8,16.33,30.39,49.44,71.67
55,6.35,14.97,28.12,45.81,66.22
60,5.9,13.61,25.85,41.73,60.33
65,4.99,12.25,23.13,37.65,54.43
70,4.54,11.34,20.87,34.02,48.99
75,4.08,9.98,18.6,30.39,44
80,3.63,9.07,16.78,27.22,39.01
85,3.18,8.16,14.97,24.04,34.93
90,3.18,7.26,13.61,21.77,31.75
