Age,Beg.,Nov.,Int.,Adv.,Elite
15,5.44,11.34,19.96,30.84,43.54
20,5.9,12.7,22.68,35.38,49.9
25,6.35,13.15,23.13,36.29,51.26
30,6.35,13.15,23.13,36.29,51.26
35,6.35,13.15,23.13,36.29,51.26
40,6.35,13.15,23.13,36.29,51.26
45,5.9,12.25,22.23,34.47,48.53
50,5.44,11.79,20.87,32.21,45.81
55,4.99,10.89,19.05,29.94,42.18
60,4.54,9.98,17.69,27.22,38.56
65,4.08,9.07,15.88,24.49,34.93
70,3.63,8.16,14.06,22.23,31.3
75,3.18,7.26,12.7,19.96,28.12
80,3.18,6.35,11.34,17.69,24.95
85,2.72,5.9,9.98,15.88,22.23
90,2.27,4.99,9.07,14.06,20.41
