Age,Beg.,Nov.,Int.,Adv.,Elite
15,11.79,19.5,29.03,40.82,54.43
20,13.61,22.23,33.57,47.17,62.14
25,14.06,22.68,34.47,48.08,63.5
30,14.06,22.68,34.47,48.08,63.5
35,14.06,22.68,34.47,48.08,63.5
40,14.06,22.68,34.47,48.08,63.5
45,13.15,21.77,32.66,45.81,60.33
50,12.25,20.41,30.39,43.09,56.7
55,11.34,18.6,28.12,39.92,52.62
60,10.43,17.24,25.85,36.29,48.08
65,9.53,15.42,23.13,32.66,43.09
70,8.62,14.06,20.87,29.48,39.01
75,7.71,12.25,18.6,26.31,34.93
80,6.8,10.89,16.78,23.59,30.84
85,5.9,9.98,14.97,20.87,27.67
90,5.44,9.07,13.61,19.05,24.95
