Age,Beg.,Nov.,Int.,Adv.,Elite
15,0.91,4.99,13.61,26.31,42.18
20,0.91,5.9,15.42,29.94,48.53
25,0.91,5.9,15.88,30.84,49.9
30,0.91,5.9,15.88,30.84,49.9
35,0.91,5.9,15.88,30.84,49.9
40,0.91,5.9,15.88,30.84,49.9
45,0.91,5.44,14.97,29.48,47.17
50,0.91,4.99,14.06,27.67,44.45
55,0.91,4.99,13.15,25.4,40.82
60,0.45,4.54,11.79,23.13,37.19
65,0.45,4.08,10.89,20.87,33.57
70,0.45,3.63,9.53,18.6,30.39
75,0.45,3.18,8.62,16.78,27.22
80,0.45,2.72,7.71,14.97,24.04
85,0.45,2.72,6.8,13.61,21.77
90,0.45,2.27,6.35,12.25,19.5
