Age,Beg.,Nov.,Int.,Adv.,Elite
15,2.72,6.35,11.79,18.14,25.85
20,3.18,7.26,13.15,20.87,29.94
25,3.63,7.71,13.61,21.32,30.39
30,3.63,7.71,13.61,21.32,30.39
35,3.63,7.71,13.61,21.32,30.39
40,3.63,7.71,13.61,21.32,30.39
45,3.18,7.26,12.7,20.41,29.03
50,3.18,6.8,12.25,19.05,27.22
55,2.72,6.35,11.34,17.69,25.4
60,2.72,5.9,10.43,16.33,23.13
65,2.27,4.99,9.07,14.51,20.87
70,2.27,4.54,8.16,13.15,18.6
75,1.81,4.08,7.26,11.79,16.78
80,1.81,3.63,6.8,10.43,14.97
85,1.36,3.18,5.9,9.53,13.15
90,1.36,3.18,5.44,8.62,12.25
