Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.54,11.79,22.23,36.74,53.07
20,5.44,13.15,25.4,41.73,60.78
25,5.44,13.61,26.31,43.09,62.6
30,5.44,13.61,26.31,43.09,62.6
35,5.44,13.61,26.31,43.09,62.6
40,5.44,13.61,26.31,43.09,62.6
45,5.44,13.15,24.95,40.82,59.42
50,4.99,12.25,23.59,38.1,55.79
55,4.54,11.34,21.77,35.38,51.26
60,4.08,10.43,19.96,32.21,47.17
65,3.63,9.53,17.69,29.03,42.64
70,3.18,8.16,15.88,26.31,38.1
75,3.18,7.26,14.51,23.59,34.02
80,2.72,6.8,12.7,20.87,30.39
85,2.27,5.9,11.34,18.6,27.22
90,2.27,5.44,10.43,16.78,24.49
