Age,Beg.,Nov.,Int.,Adv.,Elite
15,25.85,39.46,57.61,78.47,102.06
20,29.48,45.36,65.77,89.81,116.57
25,30.39,46.72,67.59,92.53,119.75
30,30.39,46.72,67.59,92.53,119.75
35,30.39,46.72,67.59,92.53,119.75
40,30.39,46.72,67.59,92.53,119.75
45,28.58,44,63.96,87.54,113.4
50,26.76,41.28,60.33,82.1,106.59
55,24.95,38.56,55.79,76.2,98.43
60,22.68,34.93,50.8,69.4,89.81
65,20.41,31.75,45.81,62.6,81.19
70,18.6,28.58,41.28,56.25,73.03
75,16.33,25.4,36.74,50.35,65.32
80,14.51,22.68,33.11,44.91,58.51
85,13.15,20.41,29.48,40.37,52.16
90,11.79,18.14,26.76,36.29,47.17
