Age,Beg.,Nov.,Int.,Adv.,Elite
15,16.78,24.95,35.38,47.63,60.78
20,19.05,28.58,40.37,54.43,69.4
25,19.5,29.03,41.28,55.79,71.21
30,19.5,29.03,41.28,55.79,71.21
35,19.5,29.03,41.28,55.79,71.21
40,19.5,29.03,41.28,55.79,71.21
45,18.6,27.67,39.46,53.07,67.59
50,17.24,25.85,36.74,49.44,63.5
55,15.88,24.04,34.02,45.81,58.97
60,14.51,21.77,31.3,41.73,53.52
65,13.15,19.96,28.12,37.65,48.53
70,11.79,17.69,25.4,34.02,43.54
75,10.43,15.88,22.68,30.39,39.01
80,9.53,14.06,19.96,27.22,34.93
85,8.62,12.7,18.14,24.49,31.3
90,7.71,11.34,16.33,21.77,28.12
