Age,Beg.,Nov.,Int.,Adv.,Elite
15,19.05,28.12,39.46,53.07,67.59
20,21.77,32.21,45.36,60.78,77.56
25,22.23,33.11,46.27,62.14,79.38
30,22.23,33.11,46.27,62.14,79.38
35,22.23,33.11,46.27,62.14,79.38
40,22.23,33.11,46.27,62.14,79.38
45,20.87,31.3,44,58.97,75.3
50,19.96,29.48,41.28,55.34,70.76
55,18.14,27.22,38.1,51.26,65.32
60,16.78,24.95,34.93,46.72,59.87
65,14.97,22.23,31.75,42.18,53.98
70,13.61,19.96,28.12,38.1,48.53
75,12.25,18.14,25.4,34.02,43.54
80,10.89,15.88,22.68,30.39,38.56
85,9.53,14.51,20.41,27.22,34.93
90,8.62,13.15,18.14,24.49,31.3
