Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.08,7.71,12.7,18.6,24.95
20,4.99,9.07,14.51,20.87,28.58
25,4.99,9.07,14.51,21.77,29.48
30,4.99,9.07,14.51,21.77,29.48
35,4.99,9.07,14.51,21.77,29.48
40,4.99,9.07,14.51,21.77,29.48
45,4.99,8.62,14.06,20.41,28.12
50,4.54,8.16,13.15,19.05,26.31
55,4.08,7.71,12.25,17.69,24.04
60,3.63,6.8,10.89,16.33,22.23
65,3.63,6.35,9.98,14.51,19.96
70,3.18,5.44,9.07,13.15,18.14
75,2.72,4.99,8.16,11.79,15.88
80,2.27,4.54,7.26,10.43,14.51
85,2.27,4.08,6.35,9.53,12.7
90,1.81,3.63,5.9,8.62,11.79
