Age,Beg.,Nov.,Int.,Adv.,Elite
15,7.26,17.69,32.66,52.62,76.2
20,8.62,19.96,37.65,60.33,87.09
25,8.62,20.41,38.56,61.69,89.36
30,8.62,20.41,38.56,61.69,89.36
35,8.62,20.41,38.56,61.69,89.36
40,8.62,20.41,38.56,61.69,89.36
45,8.16,19.5,36.29,58.51,84.82
50,7.71,18.14,34.47,55.34,79.83
55,7.26,16.78,31.75,50.8,73.48
60,6.35,15.42,29.03,46.72,67.13
65,5.9,14.06,26.31,42.18,60.78
70,5.44,12.7,23.59,37.65,54.43
75,4.54,11.34,20.87,33.57,48.53
80,4.08,9.98,18.6,30.39,43.54
85,3.63,9.07,16.78,27.22,39.01
90,3.63,8.16,14.97,24.49,35.38
