Age,Beg.,Nov.,Int.,Adv.,Elite
15,16.78,27.22,40.37,56.25,73.48
20,19.5,30.84,46.27,63.96,84.37
25,19.96,31.75,47.17,65.77,86.18
30,19.96,31.75,47.17,65.77,86.18
35,19.96,31.75,47.17,65.77,86.18
40,19.96,31.75,47.17,65.77,86.18
45,19.05,30.39,44.91,62.6,82.1
50,17.69,28.58,42.18,58.51,77.11
55,16.33,26.31,39.01,54.43,71.21
60,14.97,24.04,35.38,49.44,64.86
65,13.61,21.77,32.21,44.91,58.51
70,12.25,19.5,29.03,39.92,52.62
75,10.89,17.24,25.85,35.83,47.17
80,9.53,15.42,23.13,32.21,42.18
85,8.62,14.06,20.87,28.58,37.65
90,7.71,12.7,18.6,25.85,34.02
