Age,Beg.,Nov.,Int.,Adv.,Elite
15,6.8,14.97,26.76,42.18,59.87
20,7.71,17.24,30.84,48.08,68.49
25,8.16,17.69,31.3,49.44,70.31
30,8.16,17.69,31.3,49.44,70.31
35,8.16,17.69,31.3,49.44,70.31
40,8.16,17.69,31.3,49.44,70.31
45,7.71,16.78,29.94,46.72,66.68
50,7.26,15.42,28.12,44,62.6
55,6.8,14.51,25.85,40.82,58.06
60,5.9,13.15,23.59,37.19,52.62
65,5.44,11.79,21.32,33.57,47.63
70,4.99,10.89,19.05,29.94,42.64
75,4.54,9.53,17.24,26.76,38.1
80,4.08,8.62,15.42,24.04,34.02
85,3.63,7.71,13.61,21.77,30.84
90,3.18,6.8,12.25,19.5,27.67
