Age,Beg.,Nov.,Int.,Adv.,Elite
15,10.89,18.6,29.03,41.28,55.34
20,12.25,21.32,33.11,47.17,63.05
25,12.7,21.77,34.02,48.53,64.86
30,12.7,21.77,34.02,48.53,64.86
35,12.7,21.77,34.02,48.53,64.86
40,12.7,21.77,34.02,48.53,64.86
45,12.25,20.87,32.21,45.81,61.69
50,11.34,19.5,29.94,43.09,57.61
55,10.43,18.14,27.67,39.92,53.52
60,9.53,16.33,25.4,36.29,48.99
65,8.62,14.97,23.13,33.11,44
70,7.71,13.15,20.41,29.48,39.46
75,6.8,11.79,18.6,26.31,35.38
80,6.35,10.43,16.33,23.59,31.75
85,5.44,9.53,14.97,21.32,28.58
90,4.99,8.62,13.15,19.05,25.4
