Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.54,10.43,18.6,29.03,41.28
20,5.44,11.79,20.87,33.11,47.17
25,5.44,12.25,21.77,34.02,48.08
30,5.44,12.25,21.77,34.02,48.08
35,5.44,12.25,21.77,34.02,48.08
40,5.44,12.25,21.77,34.02,48.08
45,5.44,11.34,20.41,32.21,45.81
50,4.99,10.89,19.05,30.39,43.09
55,4.54,9.98,17.69,28.12,39.92
60,4.08,9.07,16.33,25.4,36.29
65,3.63,8.16,14.51,23.13,32.66
70,3.18,7.26,13.15,20.87,29.48
75,3.18,6.8,11.79,18.6,26.31
80,2.72,5.9,10.43,16.33,23.59
85,2.27,5.44,9.53,14.97,20.87
90,2.27,4.54,8.62,13.15,19.05
