Age,Beg.,Nov.,Int.,Adv.,Elite
15,9.07,16.33,25.85,38.1,52.16
20,10.43,18.6,29.94,44,59.42
25,10.43,19.05,30.39,44.91,61.23
30,10.43,19.05,30.39,44.91,61.23
35,10.43,19.05,30.39,44.91,61.23
40,10.43,19.05,30.39,44.91,61.23
45,9.98,18.14,29.03,42.64,58.06
50,9.53,16.78,27.22,39.92,54.43
55,8.62,15.88,25.4,37.19,50.35
60,7.71,14.51,23.13,33.57,45.81
65,7.26,13.15,20.87,30.39,41.73
70,6.35,11.79,18.6,27.22,37.19
75,5.9,10.43,16.78,24.49,33.11
80,4.99,9.07,14.97,21.77,29.94
85,4.54,8.16,13.15,19.5,26.76
90,4.08,7.71,12.25,17.69,24.04
