Age,Beg.,Nov.,Int.,Adv.,Elite
15,10.43,29.03,58.51,98.43,146.51
20,11.79,33.11,67.13,112.94,167.83
25,12.25,34.02,68.95,115.67,171.91
30,12.25,34.02,68.95,115.67,171.91
35,12.25,34.02,68.95,115.67,171.91
40,12.25,34.02,68.95,115.67,171.91
45,11.34,32.21,65.32,109.77,163.29
50,10.89,30.39,61.23,102.97,153.31
55,9.98,28.12,56.7,95.25,141.52
60,9.07,25.4,51.71,87.09,129.27
65,8.16,23.13,46.72,78.47,117.03
70,7.26,20.87,41.73,70.76,104.78
75,6.35,18.6,37.65,63.05,93.89
80,5.9,16.33,33.57,56.25,83.91
85,5.44,14.97,29.94,50.8,75.3
90,4.54,13.15,27.22,45.81,67.59
