Age,Beg.,Nov.,Int.,Adv.,Elite
15,14.06,26.76,44,65.32,90.26
20,16.33,30.39,50.35,74.84,102.97
25,16.78,31.3,51.71,77.11,105.69
30,16.78,31.3,51.71,77.11,105.69
35,16.78,31.3,51.71,77.11,105.69
40,16.78,31.3,51.71,77.11,105.69
45,15.88,29.94,48.99,73.03,100.24
50,14.97,28.12,45.81,68.49,94.35
55,13.61,25.85,42.64,63.5,87.09
60,12.7,23.59,39.01,58.06,79.38
65,11.34,21.32,34.93,52.16,71.67
70,10.43,19.05,31.3,46.72,64.41
75,9.07,17.24,28.12,41.73,57.61
80,8.16,15.42,25.4,37.65,51.71
85,7.26,13.61,22.68,33.57,46.27
90,6.8,12.25,20.41,30.39,41.73
