Age,Beg.,Nov.,Int.,Adv.,Elite
15,18.6,34.47,56.25,83.46,114.31
20,21.32,39.46,64.41,95.71,130.63
25,22.23,40.82,66.22,97.98,134.26
30,22.23,40.82,66.22,97.98,134.26
35,22.23,40.82,66.22,97.98,134.26
40,22.23,40.82,66.22,97.98,134.26
45,20.87,38.56,62.6,92.99,127.01
50,19.5,36.29,58.97,87.09,119.29
55,18.14,33.57,54.43,80.74,110.22
60,16.78,30.39,49.9,73.48,100.7
65,14.97,27.67,44.91,66.68,91.17
70,13.61,24.95,40.37,59.87,81.65
75,11.79,22.23,36.29,53.52,73.03
80,10.89,19.96,32.21,47.63,65.32
85,9.53,17.69,29.03,42.64,58.51
90,8.62,15.88,25.85,38.56,52.62
