Age,Beg.,Nov.,Int.,Adv.,Elite
15,17.24,25.85,36.74,49.44,63.96
20,19.5,29.48,42.18,56.7,73.03
25,19.96,30.39,43.09,58.51,74.84
30,19.96,30.39,43.09,58.51,74.84
35,19.96,30.39,43.09,58.51,74.84
40,19.96,30.39,43.09,58.51,74.84
45,19.05,28.58,40.82,55.34,71.21
50,17.69,26.76,38.56,51.71,66.68
55,16.33,24.95,35.38,48.08,61.69
60,14.97,22.68,32.21,44,56.25
65,13.61,20.41,29.48,39.46,50.8
70,12.25,18.6,26.31,35.38,45.81
75,10.89,16.33,23.59,31.75,40.82
80,9.98,14.51,20.87,28.58,36.74
85,8.62,13.15,19.05,25.4,32.66
90,7.71,11.79,16.78,23.13,29.48
