Age,Beg.,Nov.,Int.,Adv.,Elite
15,12.25,22.23,35.83,53.07,72.57
20,14.06,25.4,41.28,60.78,83.01
25,14.06,25.85,42.18,62.14,85.28
30,14.06,25.85,42.18,62.14,85.28
35,14.06,25.85,42.18,62.14,85.28
40,14.06,25.85,42.18,62.14,85.28
45,13.61,24.95,39.92,58.97,80.74
50,12.7,23.13,37.65,55.34,75.75
55,11.79,21.32,34.93,51.26,69.85
60,10.89,19.5,31.75,46.72,63.96
65,9.53,17.69,28.58,42.18,57.61
70,8.62,15.88,25.85,38.1,51.71
75,7.71,14.06,23.13,34.02,46.27
80,6.8,12.7,20.41,30.39,41.28
85,6.35,11.34,18.6,27.22,37.19
90,5.44,10.43,16.78,24.49,33.57
