Age,Beg.,Nov.,Int.,Adv.,Elite
15,23.59,38.1,57.15,79.83,105.23
20,27.22,43.54,65.32,91.63,120.2
25,27.67,44.91,67.13,93.89,123.38
30,27.67,44.91,67.13,93.89,123.38
35,27.67,44.91,67.13,93.89,123.38
40,27.67,44.91,67.13,93.89,123.38
45,26.31,42.64,63.5,88.9,117.03
50,24.49,39.92,59.87,83.46,110.22
55,22.68,36.74,55.34,77.11,101.6
60,20.87,33.57,50.35,70.76,92.99
65,18.6,30.39,45.36,63.5,83.91
70,16.78,27.22,40.82,57.15,75.3
75,14.97,24.49,36.74,51.26,67.13
80,13.61,21.77,32.66,45.81,60.33
85,12.25,19.5,29.48,40.82,53.98
90,10.89,17.69,26.31,36.74,48.53
